Date,Index Options Contracts,Index Options Turnover,Call Contracts,Call Turnover,Put Contract,Put Turnover
Jun-01,542,197,167,62,375,135
Jul-01,183,65,67,24,116,41
Aug-01,1551,531,811,276,740,255
Sep-01,113,38,73,24,40,14
Oct-01,14,4,14,4,0,0
Nov-01,9,3,5,2,4,1
Dec-01,0,0,0,0,0,0
Jan-02,2,0,1,0,1,0
Feb-02,1,0,1,0,0,0
Mar-02,0,0,0,0,0,0
Apr-02,0,0,0,0,0,0
May-02,1,0,1,0,0,0
Jun-02,0,0,0,0,0,0
Jul-02,0,0,0,0,0,0
Aug-02,0,0,0,0,0,0
Sep-02,0,0,0,0,0,0
Oct-02,0,0,0,0,0,0
Nov-02,0,0,0,0,0,0
Dec-02,0,0,0,0,0,0
Jan-03,0,0,0,0,0,0
Feb-03,1,0,0,0,1,0
Mar-03,41,13,40,13,1,0
Apr-03,0,0,0,0,0,0
May-03,1,0,1,0,0,0
Jun-03,0,0,0,0,0,0
Jul-03,0,0,0,0,0,0
Aug-03,0,0,0,0,0,0
Sep-03,0,0,0,0,0,0
Oct-03,0,0,0,0,0,0
Nov-03,0,0,0,0,0,0
Dec-03,0,0,0,0,0,0
Jan-04,0,0,0,0,0,0
Feb-04,0,0,0,0,0,0
Mar-04,0,0,0,0,0,0
Apr-04,0,0,0,0,0,0
May-04,0,0,0,0,0,0
Jun-04,0,0,0,0,0,0
Jul-04,0,0,0,0,0,0
Aug-04,0,0,0,0,0,0
Sep-04,8238,2280,4569,1270,3669,1010
Oct-04,17883,5130,11397,3270,6486,1860
Nov-04,16156,4820,11635,3480,4521,1340
Dec-04,13769,4420,9164,2940,4605,1480
Jan-05,9316,2980,5271,1700,4045,1280
Feb-05,4499,1490,2484,830,2015,660
Mar-05,5414,1840,3545,1210,1869,630
Apr-05,100,30,100,30,0,0
May-05,0,0,0,0,0,0
Jun-05,0,0,0,0,0,0
Jul-05,0,0,0,0,0,0
Aug-05,0,0,0,0,0,0
Sep-05,0,0,0,0,0,0
Oct-05,0,0,0,0,0,0
Nov-05,0,0,0,0,0,0
Dec-05,0,0,0,0,0,0
Jan-06,0,0,0,0,0,0
Feb-06,0,0,0,0,0,0
Mar-06,0,0,0,0,0,0
Apr-06,0,0,0,0,0,0
May-06,0,0,0,0,0,0
Jun-06,0,0,0,0,0,0
Jul-06,2,1,2,1,0,0
Aug-06,0,0,0,0,0,0
Sep-06,0,0,0,0,0,0
Oct-06,0,0,0,0,0,0
Nov-06,0,0,0,0,0,0
Dec-06,0,0,0,0,0,0
Jan-07,0,0,0,0,0,0
Feb-07,0,0,0,0,0,0
Mar-07,0,0,0,0,0,0
Apr-07,0,0,0,0,0,0
May-07,0,0,0,0,0,0
Jun-07,778,283.2,569,207,209,76.2
Jul-07,1,0.4,1,0.4,0,0
Aug-07,1,0.4,1,0.4,0,0
Sep-07,0,0,0,0,0,0
Oct-07,0,0,0,0,0,0
Nov-07,0,0,0,0,0,0
Dec-07,0,0,0,0,0,0
Jan-08,0,0,0,0,0,0
Feb-08,0,0,0,0,0,0
Mar-08,0,0,0,0,0,0
Apr-08,778,283.2,569,207,209,76.2
May-08,1,0.4,1,0.4,0,0
Jun-08,1,0.4,1,0.4,0,0
Jul-08,0,0,0,0,0,0
Aug-08,1,0.4,0,0,1,0.4
